POSIXtime,x_pos,y_pos,pixel
POSIXtime,x_pos,y_pos,pixel
1639715610.322193,400,300,0.0
1639715610.3241558,399,300,1.0
1639715610.32971,400,300,0.0
1639715610.331448,394,299,6.082762530298219
1639715610.337423,400,300,0.0
1639715610.3389509,394,297,6.708203932499369
1639715610.3460212,400,300,0.0
1639715610.3479638,385,295,15.811388300841896
1639715610.353513,400,300,0.0
1639715610.355208,385,296,15.524174696260024
1639715610.362221,400,300,0.0
1639715610.364358,381,294,19.924858845171276
1639715610.3700302,400,300,0.0
1639715610.3718011,379,294,21.840329667841555
1639715610.377239,400,300,0.0
1639715610.378891,388,297,12.36931687685298
1639715610.385507,400,300,0.0
1639715610.3881211,380,295,20.615528128088304
1639715610.393572,400,300,0.0
1639715610.3951979,381,295,19.6468827043885
1639715610.402136,400,300,0.0
1639715610.4037728,392,298,8.246211251235321
1639715610.407708,400,300,0.0
1639715610.416075,386,296,14.560219778561036
1639715610.417599,400,300,0.0
1639715610.41912,389,297,11.40175425099138
1639715610.426004,400,300,0.0
1639715610.427916,396,299,4.123105625617661
1639715610.433644,400,300,0.0
1639715610.435277,394,298,6.324555320336759
1639715610.441163,400,300,0.0
1639715610.4493551,396,299,4.123105625617661
1639715610.451204,398,299,2.23606797749979
1639715610.457899,400,300,0.0
1639715610.4595551,398,299,2.23606797749979
1639715610.465029,400,300,0.0
1639715610.466548,400,299,1.0
1639715610.4735308,400,300,0.0
1639715610.477765,400,299,1.0
1639715610.4821749,400,300,0.0
1639715610.484063,402,300,2.0
1639715610.4893389,400,300,0.0
1639715610.491403,403,300,3.0
1639715610.497104,400,300,0.0
1639715610.49876,405,300,5.0
1639715610.504707,400,300,0.0
1639715610.5062988,404,300,4.0
1639715610.5134451,400,300,0.0
1639715610.5157278,402,300,2.0
1639715610.521106,400,300,0.0
1639715610.522966,403,300,3.0
1639715610.530041,400,300,0.0
1639715610.5316439,403,300,3.0
1639715610.537189,400,300,0.0
1639715610.5388968,402,300,2.0
1639715610.546259,400,300,0.0
1639715610.5496252,402,300,2.0
1639715610.553571,400,300,0.0
1639715610.555549,401,300,1.0
1639715610.561171,400,300,0.0
1639715610.5628521,401,300,1.0
1639715610.761125,400,300,0.0
1639715610.762762,401,301,1.4142135623730951
1639715610.768733,400,300,0.0
1639715610.77031,401,301,1.4142135623730951
1639715610.776273,400,300,0.0
1639715610.777905,401,301,1.4142135623730951
1639715610.785273,400,300,0.0
1639715610.787173,401,301,1.4142135623730951
1639715610.792737,400,300,0.0
1639715610.794434,401,301,1.4142135623730951
1639715610.807498,400,300,0.0
1639715610.81535,401,301,1.4142135623730951
1639715610.920146,400,300,0.0
1639715610.9218502,399,300,1.0
1639715610.929013,400,300,0.0
1639715610.931145,399,300,1.0
1639715610.93655,400,300,0.0
1639715610.938535,399,300,1.0
1639715610.944336,400,300,0.0
1639715610.945864,399,300,1.0
1639715610.952857,400,300,0.0
1639715610.954762,399,300,1.0
1639715610.957557,400,300,0.0
1639715610.966458,398,300,2.0
1639715610.9679701,400,300,0.0
1639715610.969683,399,300,1.0
1639715610.979319,400,300,0.0
1639715610.982662,398,300,2.0
1639715610.9846132,400,300,0.0
1639715610.98628,398,299,2.23606797749979
1639715610.9930859,400,300,0.0
1639715610.994829,398,298,2.8284271247461903
1639715611.0005069,400,300,0.0
1639715611.002094,398,298,2.8284271247461903
1639715611.0088131,400,300,0.0
1639715611.018804,398,296,4.47213595499958
1639715611.024469,400,300,0.0
1639715611.026669,397,294,6.708203932499369
1639715611.032251,400,300,0.0
1639715611.0338829,398,294,6.324555320336759
1639715611.040693,400,300,0.0
1639715611.0426471,398,294,6.324555320336759
1639715611.054878,398,291,9.219544457292887
1639715611.056248,400,300,0.0
1639715611.0579681,399,295,5.0990195135927845
1639715611.064824,400,300,0.0
1639715611.06686,399,297,3.1622776601683795
1639715611.082666,400,300,0.0
1639715611.0848992,400,298,2.0
1639715611.0876741,400,300,0.0
1639715611.089379,400,298,2.0
1639715611.09646,400,300,0.0
1639715611.098063,400,299,1.0
1639715611.1045918,400,300,0.0
1639715611.10671,400,299,1.0
1639715611.120357,400,300,0.0
1639715611.121979,400,299,1.0
1639715611.1289139,400,300,0.0
1639715611.1310139,401,300,1.0
1639715611.1524951,400,300,0.0
1639715611.15453,401,300,1.0
1639715611.161332,400,300,0.0
1639715611.164887,402,300,2.0
1639715611.167757,400,300,0.0
1639715611.169621,401,300,1.0
1639715611.176173,400,300,0.0
1639715611.1779,402,300,2.0
1639715611.1844711,400,300,0.0
1639715611.187403,401,301,1.4142135623730951
POSIXtime,x_pos,y_pos,pixel
1639715644.0704331,400,300,0.0
1639715644.072043,398,313,13.152946437965905
1639715644.077707,400,300,0.0
1639715644.082148,399,313,13.038404810405298
1639715644.0863209,400,300,0.0
1639715644.087873,400,313,13.0
1639715644.0950558,400,300,0.0
1639715644.0970979,400,314,14.0
1639715644.102699,400,300,0.0
1639715644.104377,400,326,26.0
1639715644.108462,400,300,0.0
1639715644.116828,400,328,28.0
1639715644.1198,400,300,0.0
1639715644.123179,400,328,28.0
1639715644.126019,400,300,0.0
1639715644.127572,402,328,28.071337695236398
1639715644.134613,400,300,0.0
1639715644.136375,402,311,11.180339887498949
1639715644.140764,400,300,0.0
1639715644.149744,404,321,21.37755832643195
1639715644.1520839,400,300,0.0
1639715644.154442,405,320,20.615528128088304
