POSIXtime,x_pos,y_pos,pixel
1639715662.29073,400,300,0.0
1639715662.292788,393,308,10.63014581273465
1639715662.298406,400,300,0.0
1639715662.300374,389,317,20.248456731316587
1639715662.3062038,400,300,0.0
1639715662.308023,390,318,20.591260281974
1639715662.313369,400,300,0.0
1639715662.3150709,391,320,21.93171219946131
1639715662.322366,400,300,0.0
1639715662.3241699,392,322,23.40939982143925
1639715662.329472,400,300,0.0
1639715662.3310862,393,323,24.041630560342615
1639715662.340151,400,300,0.0
1639715662.344249,395,325,25.495097567963924
1639715662.346717,400,300,0.0
1639715662.349546,396,323,23.345235059857504
1639715662.353695,400,300,0.0
1639715662.355496,394,347,47.38143096192854
1639715662.3615181,400,300,0.0
1639715662.363096,397,342,42.1070065428546
1639715662.372345,400,300,0.0
1639715662.376457,400,315,15.0
